"Date","Close","Open","High","Low","Volume","Change"
"2024-5-2","180.10","183.33","184.57","176.26","88.28M","-0.04%"
"2024-5-1","180.17","182.14","185.81","179.02","88.09M","-1.83%"
"2024-4-30","183.52","187.00","190.76","182.88","120.68M","-5.43%"
"2024-4-29","194.05","187.88","198.76","184.56","241.48M","15.31%"
"2024-4-26","168.29","168.85","172.12","166.37","109.82M","-1.11%"
"2024-4-25","170.18","158.96","170.88","158.36","126.43M","4.97%"
"2024-4-24","162.13","162.84","167.97","157.51","181.18M","12.06%"
"2024-4-23","144.68","143.33","147.26","141.11","124.55M","1.85%"
"2024-4-22","142.05","140.56","144.44","138.80","106.48M","-3.40%"
"2024-4-19","147.05","148.97","150.94","146.22","87.08M","-1.92%"
"2024-4-18","149.93","151.25","152.20","148.70","96.10M","-3.55%"
"2024-4-17","155.45","157.64","158.33","153.78","82.44M","-1.06%"
"2024-4-16","157.11","156.74","158.19","153.75","97.00M","-2.71%"
"2024-4-15","161.48","170.26","170.69","161.38","96.36M","-5.59%"
"2024-4-12","171.05","172.34","173.81","170.36","64.72M","-2.03%"
"2024-4-11","174.60","172.55","175.88","168.51","94.52M","1.65%"
"2024-4-10","171.76","173.04","174.93","170.01","84.53M","-2.89%"
"2024-4-9","176.88","172.91","179.22","171.92","103.23M","2.25%"
"2024-4-8","172.98","169.34","174.50","167.79","104.04M","4.90%"
"2024-4-5","164.90","169.08","170.86","160.51","143.16M","-3.63%"
"2024-4-4","171.11","170.07","177.19","168.01","123.16M","1.62%"
"2024-4-3","168.38","164.02","168.82","163.28","82.95M","1.05%"
"2024-4-2","166.63","164.75","167.69","163.43","116.65M","-4.90%"
"2024-4-1","175.22","176.17","176.75","170.21","80.75M","-0.32%"
"2024-3-28","175.79","177.45","179.57","175.30","77.66M","-2.25%"
"2024-3-27","179.83","181.41","181.91","176.00","81.80M","1.22%"
"2024-3-26","177.67","178.58","184.25","177.38","113.19M","2.92%"
"2024-3-25","172.63","168.76","175.24","168.73","74.23M","1.05%"
"2024-3-22","170.83","166.69","171.20","166.30","74.98M","-1.15%"
"2024-3-21","172.82","176.39","178.18","171.80","73.18M","-1.62%"
"2024-3-20","175.66","173.00","176.25","170.82","82.81M","2.53%"
"2024-3-19","171.32","172.36","172.82","167.42","76.85M","-1.43%"
"2024-3-18","173.80","170.02","174.72","165.90","107.20M","6.25%"
"2024-3-15","163.57","163.16","165.18","160.76","96.62M","0.66%"
"2024-3-14","162.50","167.77","171.17","160.51","125.50M","-4.12%"
"2024-3-13","169.48","173.05","176.05","169.15","104.72M","-4.54%"
"2024-3-12","177.54","177.77","179.43","172.41","87.01M","-0.13%"
"2024-3-11","177.77","175.45","182.87","174.80","85.39M","1.39%"
"2024-3-8","175.34","181.50","182.73","174.70","85.55M","-1.85%"
"2024-3-7","178.65","174.35","180.04","173.70","101.54M","1.20%"
"2024-3-6","176.54","179.99","181.58","173.70","106.63M","-2.32%"
"2024-3-5","180.74","183.05","184.59","177.57","118.45M","-3.93%"
"2024-3-4","188.14","198.73","199.75","186.72","133.23M","-7.16%"
"2024-3-1","202.64","200.52","204.52","198.50","82.24M","0.38%"
"2024-2-29","201.88","204.18","205.28","198.45","85.22M","-0.08%"
"2024-2-28","202.04","200.42","205.30","198.44","99.09M","1.16%"
"2024-2-27","199.73","204.04","205.60","198.26","108.27M","0.17%"
"2024-2-26","199.40","192.29","201.78","192.00","111.30M","3.87%"
"2024-2-23","191.97","195.31","197.57","191.50","78.84M","-2.76%"
"2024-2-22","197.41","194.00","198.32","191.36","92.18M","1.36%"
"2024-2-21","194.77","193.36","199.44","191.95","102.40M","0.52%"
"2024-2-20","193.76","196.13","198.60","189.13","103.90M","-3.10%"
"2024-2-16","199.95","202.06","203.17","197.40","111.35M","-0.25%"
"2024-2-15","200.45","189.16","200.88","188.86","119.40M","6.22%"
"2024-2-14","188.71","185.30","188.89","183.35","79.79M","2.55%"
"2024-2-13","184.02","183.99","187.26","182.11","86.42M","-2.18%"
"2024-2-12","188.13","192.11","194.73","187.28","95.00M","-2.81%"
"2024-2-9","193.57","190.18","194.12","189.48","84.48M","2.12%"
"2024-2-8","189.56","189.00","191.62","185.58","82.78M","1.06%"
"2024-2-7","187.58","188.18","189.79","182.68","111.14M","1.34%"
"2024-2-6","185.10","177.21","186.49","177.11","122.68M","2.23%"
"2024-2-5","181.06","184.26","184.68","175.01","133.55M","-3.65%"
"2024-2-2","187.91","185.04","188.69","182.00","110.61M","-0.50%"
"2024-2-1","188.86","188.50","189.88","184.28","90.68M","0.84%"
"2024-1-31","187.29","186.99","193.97","185.85","102.27M","-2.24%"
"2024-1-30","191.59","195.33","196.36","190.61","105.54M","0.35%"
"2024-1-29","190.93","185.63","191.48","183.67","123.60M","4.19%"
"2024-1-26","183.25","185.50","186.78","182.10","107.34M","0.34%"
"2024-1-25","182.63","189.70","193.00","180.06","198.08M","-12.13%"
"2024-1-24","207.83","211.88","212.73","206.77","112.94M","-0.63%"
