"Date","Close","Open","High","Low","Volume","Change"
"2024-5-3","18.18","18.00","18.24","17.90","96.63M","3.06%"
"2024-5-2","17.64","17.30","17.76","17.26","75.33M","1.85%"
"2024-4-30","17.32","17.56","17.66","17.14","94.32M","-0.57%"
"2024-4-29","17.42","17.50","17.88","17.22","175.35M","0.35%"
"2024-4-26","17.36","16.76","17.50","16.74","233.14M","4.58%"
"2024-4-25","16.60","16.66","16.70","16.40","76.84M","-0.36%"
"2024-4-24","16.66","16.56","16.68","16.42","132.63M","2.97%"
"2024-4-23","16.18","16.00","16.32","15.78","119.18M","2.28%"
"2024-4-22","15.82","15.80","15.98","15.58","94.52M","0.13%"
"2024-4-19","15.80","16.12","16.12","15.46","152.83M","-3.54%"
"2024-4-18","16.38","16.26","16.44","15.96","81.34M","0.61%"
"2024-4-17","16.28","15.92","16.34","15.92","90.73M","2.26%"
"2024-4-16","15.92","16.36","16.38","15.78","150.00M","-3.63%"
"2024-4-15","16.52","16.38","16.62","16.38","102.14M","0.12%"
"2024-4-12","16.50","16.26","16.74","16.24","207.00M","2.61%"
"2024-4-11","16.08","15.56","16.18","15.54","94.28M","0.50%"
"2024-4-10","16.00","16.18","16.28","15.84","135.39M","0.13%"
"2024-4-9","15.98","15.64","16.10","15.56","140.21M","3.10%"
"2024-4-8","15.50","15.36","15.70","15.12","117.98M","-0.26%"
"2024-4-5","15.54","15.62","15.64","15.08","84.03M","-0.13%"
"2024-4-3","15.56","16.30","16.30","15.52","225.18M","-4.42%"
"2024-4-2","16.28","17.18","17.34","16.20","539.92M","8.97%"
"2024-3-28","14.94","14.70","15.26","14.70","173.54M","1.22%"
"2024-3-27","14.76","15.44","15.44","14.74","144.61M","-3.53%"
"2024-3-26","15.30","15.18","15.46","14.84","147.86M","3.24%"
"2024-3-25","14.82","15.00","15.40","14.80","119.25M","0.14%"
"2024-3-22","14.80","14.78","14.94","14.52","110.51M","0.27%"
"2024-3-21","14.76","14.74","15.02","14.60","92.32M","1.79%"
"2024-3-20","14.50","15.20","15.36","14.36","135.84M","-2.42%"
"2024-3-19","14.86","14.92","15.10","14.74","93.99M","-0.54%"
"2024-3-18","14.94","14.50","15.04","14.44","110.83M","2.75%"
"2024-3-15","14.54","14.58","14.76","14.28","106.23M","-1.49%"
"2024-3-14","14.76","14.90","15.22","14.54","89.96M","-1.07%"
"2024-3-13","14.92","14.90","15.18","14.72","118.30M","0.00%"
"2024-3-12","14.92","13.62","15.06","13.60","295.82M","11.34%"
"2024-3-11","13.40","13.04","13.44","13.04","57.53M","2.45%"
"2024-3-8","13.08","12.96","13.36","12.92","59.66M","2.19%"
"2024-3-7","12.80","13.14","13.24","12.70","43.37M","-1.84%"
"2024-3-6","13.04","12.72","13.14","12.56","74.67M","2.19%"
"2024-3-5","12.76","13.00","13.06","12.60","99.12M","-4.35%"
