"Date","Close","Open","High","Low","Volume","Change"
"2024-4-29","75.50","75.65","76.12","75.24","3.16M","-0.07%"
"2024-4-26","75.55","76.18","76.93","75.06","13.81M","0.59%"
"2024-4-25","75.11","73.81","75.20","73.81","11.70M","0.64%"
"2024-4-24","74.63","73.74","74.70","73.50","16.13M","2.92%"
"2024-4-23","72.51","71.08","72.80","70.99","15.15M","2.59%"
"2024-4-22","70.68","69.69","70.90","69.12","14.89M","2.33%"
"2024-4-19","69.07","68.42","69.15","68.36","13.08M","0.28%"
"2024-4-18","68.88","69.09","69.63","68.80","8.77M","0.09%"
"2024-4-17","68.82","69.71","70.01","68.72","12.68M","-1.13%"
"2024-4-16","69.61","70.02","70.31","69.29","16.90M","-1.43%"
"2024-4-15","70.62","71.73","72.05","70.17","15.48M","-0.94%"
"2024-4-12","71.29","72.94","72.98","71.29","18.23M","-4.76%"
"2024-4-11","74.85","75.21","75.43","74.37","14.99M","0.35%"
"2024-4-10","74.59","74.44","75.17","73.74","20.29M","2.19%"
"2024-4-9","72.99","72.37","73.24","72.31","13.80M","1.78%"
"2024-4-8","71.71","71.96","72.39","71.56","10.42M","0.07%"
"2024-4-5","71.66","71.68","72.03","71.41","12.26M","-0.40%"
"2024-4-4","71.95","72.98","73.23","71.90","10.93M","-0.68%"
"2024-4-3","72.44","72.42","72.87","72.11","10.98M","-0.60%"
"2024-4-2","72.88","72.57","73.14","72.51","17.29M","-0.67%"
"2024-4-1","73.37","73.24","73.58","72.81","14.17M","1.40%"
"2024-3-28","72.36","72.08","72.59","72.06","14.07M","1.08%"
"2024-3-27","71.59","70.89","71.69","70.58","13.19M","0.15%"
"2024-3-26","71.48","71.84","71.87","71.09","10.88M","0.03%"
"2024-3-25","71.46","71.94","72.49","71.36","12.42M","-0.93%"
"2024-3-22","72.13","72.48","72.62","72.04","12.70M","-2.30%"
"2024-3-21","73.83","74.30","74.74","73.77","11.78M","-0.47%"
"2024-3-20","74.18","73.55","74.33","73.30","11.12M","1.04%"
"2024-3-19","73.42","73.08","73.74","72.85","8.09M","-0.14%"
"2024-3-18","73.52","73.42","74.02","73.33","8.51M","0.14%"
"2024-3-15","73.42","73.57","74.13","73.39","10.07M","0.03%"
"2024-3-14","73.40","75.24","75.39","73.23","18.08M","-3.91%"
"2024-3-13","76.39","75.94","77.45","75.94","14.53M","0.43%"
"2024-3-12","76.06","75.87","76.48","75.21","13.07M","1.60%"
"2024-3-11","74.86","74.63","76.06","74.55","13.51M","1.78%"
"2024-3-8","73.55","72.81","73.76","72.76","16.43M","1.39%"
"2024-3-7","72.54","72.60","72.76","71.76","11.99M","-1.59%"
"2024-3-6","73.71","74.20","74.72","73.61","19.71M","2.28%"
"2024-3-5","72.07","71.25","72.71","71.04","14.30M","0.10%"
"2024-3-4","72.00","73.73","73.73","71.70","19.38M","-3.51%"
"2024-3-1","74.62","74.48","75.09","74.37","11.98M","0.80%"
"2024-2-29","74.03","74.68","75.04","73.80","12.44M","-0.75%"
"2024-2-28","74.59","76.02","76.18","74.45","16.80M","-3.98%"
"2024-2-27","77.68","77.53","78.05","77.25","14.39M","1.53%"
"2024-2-26","76.51","75.62","76.57","75.34","13.90M","0.72%"
"2024-2-23","75.96","76.48","76.93","75.15","12.30M","-0.21%"
"2024-2-22","76.12","75.10","76.38","75.00","14.74M","0.71%"
"2024-2-21","75.58","74.48","76.39","74.07","23.32M","3.34%"
"2024-2-20","73.14","73.46","73.67","72.18","14.26M","-1.04%"
"2024-2-16","73.91","74.86","75.37","73.90","16.39M","0.12%"
"2024-2-15","73.82","73.22","74.14","73.08","11.83M","0.59%"
"2024-2-14","73.39","72.31","73.41","72.23","12.56M","2.50%"
"2024-2-13","71.60","71.96","73.03","71.42","13.43M","-2.11%"
"2024-2-12","73.14","72.31","74.13","72.31","18.04M","1.56%"
"2024-2-9","72.02","70.80","72.08","70.00","19.00M","1.75%"
"2024-2-8","70.78","71.89","73.20","70.65","32.43M","-3.88%"
"2024-2-7","73.64","74.56","76.17","73.15","53.32M","-5.87%"
"2024-2-6","78.23","77.04","78.34","75.73","39.36M","4.82%"
"2024-2-5","74.63","72.17","75.15","71.86","27.07M","3.87%"
"2024-2-2","71.85","72.13","72.23","71.05","18.82M","-0.84%"
"2024-2-1","72.46","73.15","73.47","72.12","14.13M","0.40%"
"2024-1-31","72.17","71.50","72.94","71.50","15.62M","-0.21%"
"2024-1-30","72.32","72.46","73.07","72.08","16.86M","-1.71%"
"2024-1-29","73.58","74.67","74.81","72.83","17.29M","-0.58%"
"2024-1-26","74.01","73.10","74.72","72.92","19.42M","0.22%"
"2024-1-25","73.85","75.19","75.50","73.56","22.41M","-1.80%"
"2024-1-24","75.20","75.29","75.62","74.22","35.95M","1.59%"
"2024-1-23","74.02","72.75","74.50","72.55","52.56M","7.85%"
"2024-1-22","68.63","67.28","68.74","66.63","27.16M","-1.14%"
"2024-1-19","69.42","67.20","69.90","66.92","34.55M","2.01%"
"2024-1-18","68.05","68.60","69.08","68.00","19.14M","-1.28%"
"2024-1-17","68.93","67.72","69.00","67.26","22.52M","-0.76%"
"2024-1-16","69.46","70.13","70.53","69.30","27.45M","-3.31%"
"2024-1-12","71.84","72.59","73.43","71.81","16.15M","-0.75%"
"2024-1-11","72.38","72.54","73.13","71.53","17.09M","1.36%"
"2024-1-10","71.41","71.38","71.78","71.04","19.54M","-0.85%"
"2024-1-9","72.02","71.25","72.12","70.96","21.20M","-1.18%"
"2024-1-8","72.88","71.25","73.06","70.92","21.63M","-0.18%"
"2024-1-5","73.01","74.00","74.00","72.86","21.73M","-2.21%"
"2024-1-4","74.66","75.56","75.72","74.44","18.18M","-2.52%"
"2024-1-3","76.59","74.33","76.69","74.07","23.82M","2.45%"
"2024-1-2","74.76","76.05","76.07","74.51","21.58M","-3.55%"
"2023-12-29","77.51","77.06","77.64","76.82","14.09M","0.35%"
"2023-12-28","77.24","77.23","77.79","76.98","18.62M","1.48%"
"2023-12-27","76.11","76.28","76.45","75.41","14.70M","0.34%"
"2023-12-26","75.85","76.16","76.97","75.73","13.05M","0.76%"
"2023-12-22","75.28","74.50","75.68","74.44","20.00M","-1.29%"
"2023-12-21","76.26","74.86","76.29","74.35","20.66M","3.97%"
"2023-12-20","73.35","74.58","75.29","73.33","26.77M","-2.71%"
"2023-12-19","75.39","74.40","76.01","74.22","20.76M","2.10%"
"2023-12-18","73.84","74.05","74.23","73.21","16.72M","-0.90%"
"2023-12-15","74.51","74.00","75.54","73.32","31.33M","2.76%"
"2023-12-14","72.51","71.47","73.24","71.42","25.08M","1.47%"
"2023-12-13","71.46","70.91","71.48","70.12","21.42M","0.10%"
"2023-12-12","71.39","71.38","71.96","70.93","14.61M","0.03%"
"2023-12-11","71.37","70.49","71.61","70.08","19.72M","-1.07%"
"2023-12-8","72.14","72.02","72.44","71.83","16.91M","-0.26%"
"2023-12-7","72.33","71.54","72.37","71.44","18.33M","1.17%"
"2023-12-6","71.49","72.36","72.95","71.49","29.66M","-1.23%"
"2023-12-5","72.38","72.04","72.70","71.92","18.96M","-0.89%"
"2023-12-4","73.03","72.67","73.58","72.48","20.96M","-1.30%"
"2023-12-1","73.99","73.12","74.14","72.12","28.00M","-1.19%"
"2023-11-30","74.88","74.70","74.94","74.01","17.62M","0.28%"
"2023-11-29","74.67","75.00","75.46","74.43","30.79M","-2.70%"
"2023-11-28","76.74","76.56","76.84","75.26","23.56M","-1.02%"
